SchoolId,Name,AcademicYear,Semester,RegistrationActivated,ResultUploaded,InstitutionId,LecturerId,State
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,12
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,13
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,14
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,15
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,16
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,17
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,18
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCEs,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,19
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,20
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,21
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,22
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,24
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCEs,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,23
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,25
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,27
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,26
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,3
fee66f4d-4e6f-4a73-87ad-ce8779796f6a,SCHOOL OF NATURAL RESOURCE,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,2
61a53a36-3352-4564-a886-9778598947fa,SCHOOL OF MINES AND BUILT ENVIRONMENTd,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,,2
61a53a36-3352-4564-a886-9778598947fa,SCHOOL OF MINES AND BUILT ENVIRONMENT,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,,3
5d767a4b-e995-4a97-a37c-f3aed0e0019c,SCHOOL OF AGRICULTURE AND TECHNOLOGY,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,9330e1a5-4eed-4517-81e5-f85d19797ac1,2
5d767a4b-e995-4a97-a37c-f3aed0e0019c,SCHOOL OF AGRICULTURE AND TECHNOLOGY,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,9330e1a5-4eed-4517-81e5-f85d19797ac1,3
292327e9-ff25-45ae-abf3-2c0713d33137,SCHOOL OF ARTS AND SOCIAL SCIENCES,Semester 2,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,419394e2-0e9c-44a0-954b-2abc6a5dd2f9,2
61a53a36-3352-4564-a886-9778598947fa,SCHOOL OF MINES AND BUILT ENVIRONMENT,2017/2018,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,36ee309b-62f0-48d0-926b-6e5230bc464a,2
e26c9204-273b-4d7a-84d7-2ef5eb9ec5b4,SCHOOL OF GEOSCIENCES,2020/2021,Semester 1,False,False,0feefb62-c646-403c-8c6d-30f68e997a01,bb49dfc7-de06-4238-9ce3-732a6681332e,2
